cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
9.5003e-01 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 9.9995e-01 0 0
5.1960e+00 1.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 9.4995e-01 3 5
9.5443e+00 2.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 8.9995e-01 5 6
1.3831e+01 3.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 8.4995e-01 6 12
1.8247e+01 4.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 7.9995e-01 6 26
2.2571e+01 5.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 7.4995e-01 7 35
2.6871e+01 6.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 6.9995e-01 7 46
3.1175e+01 7.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 6.4995e-01 7 56
3.5487e+01 8.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 5.9995e-01 7 67
3.9827e+01 9.0000e+03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 5.4995e-01 8 75
4.4202e+01 1.0000e+04 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 3.0000e-01 9.9000e-01 4.9995e-01 8 90
