cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.1120e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 3.0000e-01 1.0000e+00 0.0000e+00 0 0
1.5898e-01 1.0000e+03 -1.0000e-03 -5.7920e+00 -5.7910e-03 -3.0000e-04 3.0000e-01 1.0000e+00 0.0000e+00 1 6
3.1693e-01 2.0000e+03 -1.0000e-03 -1.0283e+01 -4.4910e-03 -5.9999e-04 2.9999e-01 1.0000e+00 0.0000e+00 1 10
4.7490e-01 3.0000e+03 -1.0000e-03 -2.1071e+01 -1.0788e-02 0.0000e+00 2.9999e-01 1.0000e+00 0.0000e+00 1 20
6.3799e-01 4.0000e+03 -1.0000e-03 -2.9760e+01 -8.6890e-03 0.0000e+00 2.9999e-01 1.0000e+00 0.0000e+00 1 28
7.9648e-01 5.0000e+03 -1.0000e-03 -3.4451e+01 -4.6910e-03 0.0000e+00 2.9998e-01 1.0000e+00 0.0000e+00 2 33
9.5507e-01 6.0000e+03 -1.0000e-03 -4.0139e+01 -5.6880e-03 0.0000e+00 2.9998e-01 1.0000e+00 0.0000e+00 4 40
1.1137e+00 7.0000e+03 -1.0000e-03 -4.2931e+01 -2.7920e-03 -5.1000e-04 2.9998e-01 1.0000e+00 0.0000e+00 6 44
1.2715e+00 8.0000e+03 -1.0000e-03 -5.2619e+01 -9.6880e-03 0.0000e+00 2.9998e-01 1.0000e+00 0.0000e+00 6 53
1.4292e+00 9.0000e+03 -1.0000e-03 -5.7310e+01 -4.6910e-03 -2.9997e-04 2.9997e-01 1.0000e+00 0.0000e+00 7 58
1.5890e+00 1.0000e+04 -1.0000e-03 -6.9097e+01 -1.1787e-02 -5.9994e-04 2.9997e-01 1.0000e+00 0.0000e+00 7 69
1.7469e+00 1.1000e+04 -1.0000e-03 -7.7885e+01 -8.7880e-03 -5.9994e-04 2.9997e-01 1.0000e+00 0.0000e+00 8 78
1.9051e+00 1.2000e+04 -1.0000e-03 -8.5575e+01 -7.6900e-03 0.0000e+00 2.9996e-01 1.0000e+00 0.0000e+00 8 85
2.0616e+00 1.3000e+04 -1.0000e-03 -9.6363e+01 -1.0788e-02 -5.0996e-04 2.9996e-01 1.0000e+00 0.0000e+00 8 95
2.2208e+00 1.4000e+04 -1.0000e-03 -1.0405e+02 -7.6900e-03 0.0000e+00 2.9996e-01 1.0000e+00 0.0000e+00 8 102
2.3777e+00 1.5000e+04 -1.0000e-03 -1.1494e+02 -1.0887e-02 0.0000e+00 2.9996e-01 1.0000e+00 0.0000e+00 9 113
2.5355e+00 1.6000e+04 -1.0000e-03 -1.2163e+02 -6.6890e-03 0.0000e+00 2.9995e-01 1.0000e+00 0.0000e+00 10 120
2.6916e+00 1.7000e+04 -1.0000e-03 -1.3361e+02 -1.1985e-02 0.0000e+00 2.9995e-01 1.0000e+00 0.0000e+00 12 133
2.8479e+00 1.8000e+04 -1.0000e-03 -1.4330e+02 -9.6880e-03 -2.9995e-04 2.9995e-01 1.0000e+00 0.0000e+00 12 142
3.0046e+00 1.9000e+04 -1.0000e-03 -1.4599e+02 -2.6910e-03 0.0000e+00 2.9994e-01 1.0000e+00 0.0000e+00 14 146
3.1612e+00 2.0000e+04 -1.0000e-03 -1.4969e+02 -3.6920e-03 -4.4788e-03 2.9994e-01 1.0000e+00 0.0000e+00 15 150
3.3193e+00 2.1000e+04 -1.0000e-03 -1.5138e+02 -1.6900e-03 -2.9994e-04 2.9994e-01 1.0000e+00 0.0000e+00 18 154
3.4770e+00 2.2000e+04 -1.0000e-03 -1.6006e+02 -8.6890e-03 -8.9980e-04 2.9993e-01 1.0000e+00 0.0000e+00 18 162
3.6341e+00 2.3000e+04 -1.0000e-03 -1.7075e+02 -1.0687e-02 0.0000e+00 2.9993e-01 1.0000e+00 0.0000e+00 18 172
3.7916e+00 2.4000e+04 -1.0000e-03 -1.7734e+02 -6.5900e-03 -5.9986e-04 2.9993e-01 1.0000e+00 0.0000e+00 18 178
3.9487e+00 2.5000e+04 -1.0000e-03 -1.7903e+02 -1.6920e-03 0.0000e+00 2.9993e-01 1.0000e+00 0.0000e+00 20 181
4.1045e+00 2.6000e+04 -1.0000e-03 -1.8872e+02 -9.6880e-03 -1.6288e-03 2.9992e-01 1.0000e+00 0.0000e+00 20 190
4.2610e+00 2.7000e+04 -1.0000e-03 -1.9851e+02 -9.7890e-03 -8.9976e-04 2.9992e-01 1.0000e+00 0.0000e+00 20 199
4.4172e+00 2.8000e+04 -1.0000e-03 -2.0620e+02 -7.6880e-03 -1.0887e-03 2.9992e-01 1.0000e+00 0.0000e+00 21 207
4.5754e+00 2.9000e+04 -1.0000e-03 -2.1179e+02 -5.5890e-03 -5.9983e-04 2.9991e-01 1.0000e+00 0.0000e+00 22 213
4.7347e+00 3.0000e+04 -1.0000e-03 -2.1858e+02 -6.7900e-03 -2.9991e-04 2.9991e-01 1.0000e+00 0.0000e+00 23 220
4.8931e+00 3.1000e+04 -1.0000e-03 -2.2326e+02 -4.6870e-03 -3.0105e-01 2.9991e-01 1.0000e+00 0.0000e+00 26 227
5.0513e+00 3.2000e+04 -1.0000e-03 -2.3095e+02 -7.6880e-03 -8.9971e-04 2.9990e-01 1.0000e+00 0.0000e+00 27 235
5.2097e+00 3.3000e+04 -1.0000e-03 -2.3764e+02 -6.6910e-03 0.0000e+00 2.9990e-01 1.0000e+00 0.0000e+00 27 241
5.3668e+00 3.4000e+04 -1.0000e-03 -2.4843e+02 -1.0788e-02 -5.9980e-04 2.9990e-01 1.0000e+00 0.0000e+00 27 251
5.5290e+00 3.5000e+04 -1.0000e-03 -2.5402e+02 -5.5870e-03 -5.9979e-04 2.9990e-01 1.0000e+00 0.0000e+00 29 258
5.6876e+00 3.6000e+04 -1.0000e-03 -2.5871e+02 -4.6910e-03 -1.8295e-03 2.9989e-01 1.0000e+00 0.0000e+00 30 263
5.8448e+00 3.7000e+04 -1.0000e-03 -2.7050e+02 -1.1787e-02 -5.9978e-04 2.9989e-01 1.0000e+00 0.0000e+00 30 274
6.0029e+00 3.8000e+04 -1.0000e-03 -2.7619e+02 -5.6900e-03 -2.0396e-03 2.9989e-01 1.0000e+00 0.0000e+00 31 280
6.1612e+00 3.9000e+04 -1.0000e-03 -2.8078e+02 -4.5900e-03 -5.9977e-04 2.9988e-01 1.0000e+00 0.0000e+00 32 285
6.3194e+00 4.0000e+04 -1.0000e-03 -2.8457e+02 -3.7910e-03 -1.2567e-03 2.9988e-01 1.0000e+00 0.0000e+00 34 290
6.4774e+00 4.1000e+04 -1.0000e-03 -2.9535e+02 -1.0788e-02 -1.9602e-01 2.9988e-01 1.0000e+00 0.0000e+00 34 300
6.6363e+00 4.2000e+04 -1.0000e-03 -2.9914e+02 -3.7890e-03 -2.9987e-04 2.9987e-01 1.0000e+00 0.0000e+00 37 306
6.7942e+00 4.3000e+04 -1.0000e-03 -3.0363e+02 -4.4910e-03 -2.9987e-04 2.9987e-01 1.0000e+00 0.0000e+00 37 310
6.9517e+00 4.4000e+04 -1.0000e-03 -3.1342e+02 -9.7890e-03 -5.3537e-03 2.9987e-01 1.0000e+00 0.0000e+00 37 319
7.1089e+00 4.5000e+04 -1.0000e-03 -3.2121e+02 -7.7890e-03 -5.9999e-04 2.9987e-01 1.0000e+00 0.0000e+00 38 327
7.2671e+00 4.6000e+04 -1.0000e-03 -3.2490e+02 -3.6900e-03 -1.4397e-03 2.9986e-01 1.0000e+00 0.0000e+00 40 332
7.4248e+00 4.7000e+04 -1.0000e-03 -3.3259e+02 -7.6900e-03 0.0000e+00 2.9986e-01 1.0000e+00 0.0000e+00 40 339
7.5832e+00 4.8000e+04 -1.0000e+00 -3.3728e+02 -4.6910e-03 0.0000e+00 2.9986e-01 1.0000e+00 0.0000e+00 41 344
7.7414e+00 4.9000e+04 -1.0000e-03 -3.4287e+02 -5.5910e-03 -2.9985e-04 2.9985e-01 1.0000e+00 0.0000e+00 41 349
7.8994e+00 5.0000e+04 -1.0000e-03 -3.4757e+02 -4.6930e-03 0.0000e+00 2.9985e-01 1.0000e+00 0.0000e+00 41 353
8.0572e+00 5.1000e+04 -1.0000e-03 -3.5526e+02 -7.6900e-03 0.0000e+00 2.9985e-01 1.0000e+00 0.0000e+00 41 360
8.2155e+00 5.2000e+04 -1.0000e-03 -3.6095e+02 -5.6900e-03 -2.0906e-03 2.9984e-01 1.0000e+00 0.0000e+00 42 366
8.3741e+00 5.3000e+04 -1.0000e-03 -3.6764e+02 -6.6890e-03 -2.4591e-03 2.9984e-01 1.0000e+00 0.0000e+00 43 373
8.5331e+00 5.4000e+04 -1.0000e-03 -3.7213e+02 -4.4910e-03 0.0000e+00 2.9984e-01 1.0000e+00 0.0000e+00 43 377
8.6922e+00 5.5000e+04 -1.0000e-03 -3.7382e+02 -1.6920e-03 -5.9967e-04 2.9984e-01 1.0000e+00 0.0000e+00 45 380
8.8514e+00 5.6000e+04 -1.0000e-03 -3.7262e+02 1.2040e-03 0.0000e+00 2.9983e-01 1.0000e+00 0.0000e+00 47 380
9.0097e+00 5.7000e+04 -1.0000e-03 -3.8140e+02 -8.7880e-03 -3.8982e-04 2.9983e-01 1.0000e+00 0.0000e+00 48 389
9.1676e+00 5.8000e+04 -1.0000e-03 -3.9009e+02 -8.6890e-03 -1.7094e-03 2.9983e-01 1.0000e+00 0.0000e+00 48 397
9.3249e+00 5.9000e+04 -1.0000e-03 -3.9878e+02 -8.6890e-03 -1.4395e-03 2.9982e-01 1.0000e+00 0.0000e+00 48 405
9.4830e+00 6.0000e+04 -1.0000e-03 -4.0337e+02 -4.5920e-03 4.5499e-02 2.9982e-01 1.0000e+00 0.0000e+00 48 409
9.6451e+00 6.1000e+04 -1.0000e-03 -4.1106e+02 -7.6900e-03 -2.9989e-04 2.9982e-01 1.0000e+00 0.0000e+00 48 416
9.8029e+00 6.2000e+04 -1.0000e-03 -4.1476e+02 -3.6940e-03 -2.4291e-03 2.9981e-01 1.0000e+00 0.0000e+00 48 419
9.9603e+00 6.3000e+04 -1.0000e-03 -4.2235e+02 -7.5890e-03 -3.7127e-03 2.9981e-01 1.0000e+00 0.0000e+00 48 426
1.0118e+01 6.4000e+04 -1.0000e-03 -4.3013e+02 -7.7870e-03 -5.9962e-04 2.9981e-01 1.0000e+00 0.0000e+00 50 435
1.0275e+01 6.5000e+04 -1.0000e-03 -4.3383e+02 -3.6940e-03 -1.4990e-03 2.9981e-01 1.0000e+00 0.0000e+00 50 438
1.0441e+01 6.6000e+04 -1.0000e-03 -4.4152e+02 -7.6900e-03 -5.0997e-04 2.9980e-01 1.0000e+00 0.0000e+00 50 445
1.0599e+01 6.7000e+04 -1.0000e-03 -4.4931e+02 -7.7910e-03 -2.9980e-04 2.9980e-01 1.0000e+00 0.0000e+00 50 452
1.0757e+01 6.8000e+04 -1.0000e-03 -4.5800e+02 -8.6890e-03 -2.9984e-04 2.9980e-01 1.0000e+00 0.0000e+00 50 460
1.0914e+01 6.9000e+04 -1.0000e-03 -4.6459e+02 -6.5880e-03 -8.9938e-04 2.9979e-01 1.0000e+00 0.0000e+00 51 467
1.1071e+01 7.0000e+04 -1.0000e-03 -4.6618e+02 -1.5930e-03 -2.9979e-04 2.9979e-01 1.0000e+00 0.0000e+00 52 469
1.1228e+01 7.1000e+04 -1.0000e-03 -4.7697e+02 -1.0788e-02 0.0000e+00 2.9979e-01 1.0000e+00 0.0000e+00 52 479
1.1386e+01 7.2000e+04 -1.0000e-03 -4.7866e+02 -1.6920e-03 0.0000e+00 2.9978e-01 1.0000e+00 0.0000e+00 54 482
1.1544e+01 7.3000e+04 -1.0000e-03 -4.8535e+02 -6.6910e-03 -2.9978e-04 2.9978e-01 1.0000e+00 0.0000e+00 54 488
1.1702e+01 7.4000e+04 -1.0000e-03 -4.9294e+02 -7.5890e-03 0.0000e+00 2.9978e-01 1.0000e+00 0.0000e+00 54 495
1.1859e+01 7.5000e+04 -1.0000e-03 -4.9263e+02 3.0800e-04 -1.1991e-03 2.9978e-01 1.0000e+00 0.0000e+00 57 497
1.2015e+01 7.6000e+04 -1.0000e-03 -5.0652e+02 -1.3886e-02 0.0000e+00 2.9977e-01 1.0000e+00 0.0000e+00 57 510
1.2171e+01 7.7000e+04 -1.0000e-03 -5.1730e+02 -1.0788e-02 -9.5018e-03 2.9977e-01 1.0000e+00 0.0000e+00 57 520
1.2329e+01 7.8000e+04 -1.0000e-03 -5.2299e+02 -5.6900e-03 -5.9953e-04 2.9977e-01 1.0000e+00 0.0000e+00 58 526
1.2486e+01 7.9000e+04 -1.0000e-03 -5.2768e+02 -4.6890e-03 -2.5618e-03 2.9976e-01 1.0000e+00 0.0000e+00 60 532
1.2643e+01 8.0000e+04 -1.0000e-03 -5.3237e+02 -4.6890e-03 -1.7986e-03 2.9976e-01 1.0000e+00 0.0000e+00 62 538
1.2799e+01 8.1000e+04 -1.0000e-03 -5.3896e+02 -6.5900e-03 0.0000e+00 2.9976e-01 1.0000e+00 0.0000e+00 62 544
1.2956e+01 8.2000e+04 -1.0000e-03 -5.4685e+02 -7.8900e-03 -2.3192e-03 2.9975e-01 1.0000e+00 0.0000e+00 63 552
1.3112e+01 8.3000e+04 -1.0000e-03 -5.5864e+02 -1.1787e-02 0.0000e+00 2.9975e-01 1.0000e+00 0.0000e+00 63 563
1.3268e+01 8.4000e+04 -1.0000e-03 -5.6623e+02 -7.5890e-03 -2.5277e-03 2.9975e-01 1.0000e+00 0.0000e+00 63 570
1.3425e+01 8.5000e+04 -1.0000e-03 -5.7202e+02 -5.7910e-03 -5.9949e-04 2.9975e-01 1.0000e+00 0.0000e+00 64 576
1.3583e+01 8.6000e+04 -1.0000e-03 -5.7371e+02 -1.6920e-03 -1.1035e-03 2.9974e-01 1.0000e+00 0.0000e+00 66 579
1.3739e+01 8.7000e+04 -1.0000e-03 -5.8860e+02 -1.4885e-02 -1.1990e-03 2.9974e-01 1.0000e+00 0.0000e+00 66 593
1.3896e+01 8.8000e+04 -1.0000e-03 -5.9519e+02 -6.5900e-03 -2.9974e-04 2.9974e-01 1.0000e+00 0.0000e+00 66 599
1.4052e+01 8.9000e+04 -1.0000e-03 -6.0298e+02 -7.7890e-03 -8.9920e-04 2.9973e-01 1.0000e+00 0.0000e+00 67 607
1.4210e+01 9.0000e+04 -1.0000e-03 -6.0457e+02 -1.5930e-03 0.0000e+00 2.9973e-01 1.0000e+00 0.0000e+00 68 609
1.4368e+01 9.1000e+04 -1.0000e-03 -6.0726e+02 -2.6930e-03 0.0000e+00 2.9973e-01 1.0000e+00 0.0000e+00 69 612
1.4524e+01 9.2000e+04 -1.0000e-03 -6.1405e+02 -6.7900e-03 0.0000e+00 2.9972e-01 1.0000e+00 0.0000e+00 70 619
1.4681e+01 9.3000e+04 -1.0000e-03 -6.2484e+02 -1.0788e-02 -2.9972e-04 2.9972e-01 1.0000e+00 0.0000e+00 70 629
1.4838e+01 9.4000e+04 -1.0000e-03 -6.3873e+02 -1.3886e-02 -9.7911e-04 2.9972e-01 1.0000e+00 0.0000e+00 70 642
1.4996e+01 9.5000e+04 -1.0000e-03 -6.4122e+02 -2.4930e-03 0.0000e+00 2.9972e-01 1.0000e+00 0.0000e+00 70 644
1.5154e+01 9.6000e+04 -1.0000e-03 -6.4481e+02 -3.5910e-03 -8.9931e-04 2.9971e-01 1.0000e+00 0.0000e+00 71 648
1.5311e+01 9.7000e+04 -1.0000e-03 -6.4650e+02 -1.6920e-03 0.0000e+00 2.9971e-01 1.0000e+00 0.0000e+00 73 651
1.5474e+01 9.8000e+04 -1.0000e-03 -6.5219e+02 -5.6900e-03 -2.6137e-03 2.9971e-01 1.0000e+00 0.0000e+00 74 657
1.5631e+01 9.9000e+04 -1.0000e-03 -6.6278e+02 -1.0586e-02 -1.1998e-03 2.9970e-01 1.0000e+00 0.0000e+00 74 667
1.5788e+01 1.0000e+05 -1.0000e-03 -6.6647e+02 -3.6940e-03 0.0000e+00 2.9970e-01 1.0000e+00 0.0000e+00 74 670
1.5945e+01 1.0100e+05 -1.0000e-03 -6.7726e+02 -1.0788e-02 -1.1991e-03 2.9970e-01 1.0000e+00 0.0000e+00 74 680
1.6102e+01 1.0200e+05 -1.0000e-03 -6.8185e+02 -4.5920e-03 -2.9969e-04 2.9969e-01 1.0000e+00 0.0000e+00 74 684
1.6258e+01 1.0300e+05 -1.0000e-03 -6.8954e+02 -7.6900e-03 -1.0196e-03 2.9969e-01 1.0000e+00 0.0000e+00 74 691
1.6416e+01 1.0400e+05 -1.0000e-03 -6.9613e+02 -6.5900e-03 0.0000e+00 2.9969e-01 1.0000e+00 0.0000e+00 74 697
1.6573e+01 1.0500e+05 -1.0000e-03 -7.0082e+02 -4.6930e-03 0.0000e+00 2.9969e-01 1.0000e+00 0.0000e+00 74 701
1.6730e+01 1.0600e+05 -1.0000e-03 -7.1151e+02 -1.0687e-02 -1.8284e-03 2.9968e-01 1.0000e+00 0.0000e+00 74 711
1.6887e+01 1.0700e+05 -1.0000e-03 -7.1810e+02 -6.5900e-03 0.0000e+00 2.9968e-01 1.0000e+00 0.0000e+00 74 717
