cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
7.7700e-04 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 0 0
9.5826e-02 1.0000e+03 -1.0000e-03 -9.7880e+00 -9.7870e-03 0.0000e+00 4.0000e-01 1.0000e+00 9.0000e-01 1 10
1.8884e-01 2.0000e+03 -1.0000e-03 -1.1480e+01 -1.6920e-03 -1.0616e-03 3.9999e-01 1.0000e+00 9.0000e-01 3 13
2.8148e-01 3.0000e+03 -1.0000e-03 -2.4365e+01 -1.2885e-02 -3.3332e-04 3.9999e-01 1.0000e+00 9.0000e-01 4 26
3.7471e-01 4.0000e+03 -1.0000e-03 -3.1954e+01 -7.5890e-03 -6.7494e-04 3.9998e-01 1.0000e+00 9.0000e-01 4 33
4.6685e-01 5.0000e+03 -1.0000e-03 -4.0643e+01 -8.6890e-03 -5.7997e-04 3.9998e-01 1.0000e+00 9.0000e-01 4 41
5.6094e-01 6.0000e+03 -1.0000e-03 -4.9433e+01 -8.7900e-03 -9.0360e-04 3.9998e-01 1.0000e+00 9.0000e-01 4 49
6.5315e-01 7.0000e+03 -1.0000e-03 -5.4025e+01 -4.5920e-03 -5.1330e-04 3.9997e-01 1.0000e+00 9.0000e-01 4 53
7.4531e-01 8.0000e+03 -1.0000e-03 -5.5715e+01 -1.6900e-03 -7.2826e-04 3.9997e-01 1.0000e+00 9.0000e-01 7 57
8.3747e-01 9.0000e+03 -1.0000e-03 -6.4303e+01 -8.5880e-03 -5.1329e-04 3.9996e-01 1.0000e+00 9.0000e-01 7 65
9.2996e-01 1.0000e+04 -1.0000e-03 -6.7896e+01 -3.5930e-03 -8.1529e-04 3.9996e-01 1.0000e+00 9.0000e-01 7 68
1.0235e+00 1.1000e+04 -1.0000e-03 -7.5584e+01 -7.6880e-03 -9.0875e-04 3.9996e-01 1.0000e+00 9.0000e-01 8 76
1.1151e+00 1.2000e+04 -1.0000e-03 -8.2273e+01 -6.6890e-03 -5.6713e-04 3.9995e-01 1.0000e+00 9.0000e-01 9 83
1.2068e+00 1.3000e+04 -1.0000e-03 -8.5963e+01 -3.6900e-03 -1.9997e-04 3.9995e-01 1.0000e+00 9.0000e-01 11 88
1.2987e+00 1.4000e+04 -1.0000e-03 -8.4555e+01 1.4080e-03 0.0000e+00 3.9994e-01 1.0000e+00 9.0000e-01 14 89
1.3906e+00 1.5000e+04 -1.0000e-03 -9.2245e+01 -7.6900e-03 -5.7974e-04 3.9994e-01 1.0000e+00 9.0000e-01 14 96
1.4833e+00 1.6000e+04 -1.0000e-03 -1.0093e+02 -8.6890e-03 -1.1896e-03 3.9994e-01 1.0000e+00 9.0000e-01 14 104
1.5753e+00 1.7000e+04 -1.0000e-03 -1.0862e+02 -7.6900e-03 -7.0296e-04 3.9993e-01 1.0000e+00 9.0000e-01 14 111
1.6671e+00 1.8000e+04 -1.0000e-03 -1.1321e+02 -4.5900e-03 -1.1509e-03 3.9993e-01 1.0000e+00 9.0000e-01 15 116
1.7585e+00 1.9000e+04 -1.0000e-03 -1.1901e+02 -5.7910e-03 -3.3327e-04 3.9992e-01 1.0000e+00 9.0000e-01 16 122
1.8509e+00 2.0000e+04 -1.0000e-03 -1.2879e+02 -9.7870e-03 -1.2992e-03 3.9992e-01 1.0000e+00 9.0000e-01 17 132
1.9449e+00 2.1000e+04 -1.0000e-03 -1.4068e+02 -1.1888e-02 -1.9996e-04 3.9992e-01 1.0000e+00 9.0000e-01 17 143
2.0384e+00 2.2000e+04 -1.0000e-03 -1.4227e+02 -1.5910e-03 -5.5907e-04 3.9991e-01 1.0000e+00 9.0000e-01 19 146
2.1312e+00 2.3000e+04 -1.0000e-03 -1.4986e+02 -7.5890e-03 -5.7987e-04 3.9991e-01 1.0000e+00 9.0000e-01 19 153
2.2251e+00 2.4000e+04 -1.0000e-03 -1.5665e+02 -6.7900e-03 -4.5590e-04 3.9990e-01 1.0000e+00 9.0000e-01 20 160
2.3174e+00 2.5000e+04 -1.0000e-03 -1.6024e+02 -3.5930e-03 -1.9995e-04 3.9990e-01 1.0000e+00 9.0000e-01 20 163
2.4112e+00 2.6000e+04 -1.0000e-03 -1.6893e+02 -8.6890e-03 -7.8575e-04 3.9990e-01 1.0000e+00 9.0000e-01 20 171
2.5035e+00 2.7000e+04 -1.0000e-03 -1.7772e+02 -8.7900e-03 -8.4178e-05 3.9989e-01 1.0000e+00 9.0000e-01 20 179
2.5962e+00 2.8000e+04 -1.0000e-03 -1.8541e+02 -7.6900e-03 -1.0802e-03 3.9989e-01 1.0000e+00 9.0000e-01 20 186
2.6876e+00 2.9000e+04 -1.0000e-03 -1.9410e+02 -8.6890e-03 -9.2525e-04 3.9988e-01 1.0000e+00 9.0000e-01 20 194
2.7807e+00 3.0000e+04 -1.0000e-03 -1.9579e+02 -1.6920e-03 -1.9994e-04 3.9988e-01 1.0000e+00 9.0000e-01 22 197
