cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.3340e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 5.0000e-01 1.0000e+00 1.0000e+00 0 0
1.8576e-01 1.0000e+03 -1.0000e-03 -5.8890e+00 -5.8880e-03 -1.5000e-03 4.9999e-01 1.0000e+00 9.9955e-01 3 8
3.6636e-01 2.0000e+03 -1.0000e-03 -1.1480e+01 -5.5910e-03 -2.5625e-03 4.9999e-01 1.0000e+00 9.9910e-01 3 13
5.3630e-01 3.0000e+03 -1.0000e-03 -2.2268e+01 -1.0788e-02 -4.9999e-04 4.9998e-01 1.0000e+00 9.9865e-01 3 23
7.0310e-01 4.0000e+03 -1.0000e-03 -2.8858e+01 -6.5900e-03 -3.9999e-03 4.9998e-01 1.0000e+00 9.9820e-01 3 29
8.6943e-01 5.0000e+03 -1.0000e-03 -4.1745e+01 -1.2887e-02 -4.9998e-04 4.9997e-01 1.0000e+00 9.9775e-01 3 41
1.0362e+00 6.0000e+03 -1.0000e-03 -5.1433e+01 -9.6880e-03 -1.8749e-03 4.9997e-01 1.0000e+00 9.9730e-01 3 50
1.2031e+00 7.0000e+03 -1.0000e-03 -5.6223e+01 -4.7900e-03 1.7422e-01 4.9996e-01 1.0000e+00 9.9685e-01 5 56
1.3702e+00 8.0000e+03 -1.0000e-03 -5.7913e+01 -1.6900e-03 -1.4999e-03 4.9996e-01 1.0000e+00 9.9640e-01 8 60
1.5382e+00 9.0000e+03 -1.0000e-03 -6.6501e+01 -8.5880e-03 -2.9015e-03 4.9995e-01 1.0000e+00 9.9595e-01 8 68
1.7051e+00 1.0000e+04 -1.0000e-03 -7.3091e+01 -6.5900e-03 -1.1249e-03 4.9995e-01 1.0000e+00 9.9550e-01 8 74
1.8733e+00 1.1000e+04 -1.0000e-03 -7.9782e+01 -6.6910e-03 -3.6716e-03 4.9994e-01 1.0000e+00 9.9505e-01 8 80
2.0554e+00 1.2000e+04 -1.0000e-03 -8.8471e+01 -8.6890e-03 -1.7499e-03 4.9994e-01 1.0000e+00 9.9460e-01 8 88
2.2221e+00 1.3000e+04 -1.0000e-03 -9.6260e+01 -7.7890e-03 1.4772e-02 4.9993e-01 1.0000e+00 9.9415e-01 9 96
2.3886e+00 1.4000e+04 -1.0000e-03 -1.1115e+02 -1.4885e-02 -4.9993e-04 4.9993e-01 1.0000e+00 9.9370e-01 9 110
2.5547e+00 1.5000e+04 -1.0000e-03 -1.1484e+02 -3.6920e-03 -2.1560e-03 4.9993e-01 1.0000e+00 9.9325e-01 10 114
2.7218e+00 1.6000e+04 -1.0000e-03 -1.2453e+02 -9.6880e-03 -4.0833e-03 4.9992e-01 1.0000e+00 9.9280e-01 10 123
2.8881e+00 1.7000e+04 -1.0000e-03 -1.2622e+02 -1.6920e-03 -8.2031e-03 4.9992e-01 1.0000e+00 9.9235e-01 12 126
3.0542e+00 1.8000e+04 -1.0000e-03 -1.3491e+02 -8.6890e-03 2.6501e-02 4.9991e-01 1.0000e+00 9.9190e-01 12 134
3.2214e+00 1.9000e+04 -1.0000e-03 -1.3860e+02 -3.6900e-03 -4.0736e-03 4.9991e-01 1.0000e+00 9.9145e-01 14 139
3.3873e+00 2.0000e+04 -1.0000e-03 -1.4738e+02 -8.7860e-03 -1.9998e-03 4.9990e-01 1.0000e+00 9.9100e-01 16 149
