cputime iteration reward accum_reward mean_reward q0 alpha gamma epsilon points_me points_opp
1.2350e-03 0.0000e+00 -1.0000e-03 -1.0000e-03 -1.0000e-03 0.0000e+00 4.0000e-01 1.0000e+00 0.0000e+00 0 0
1.4970e-01 1.0000e+03 -1.0000e-03 -8.7890e+00 -8.7880e-03 -7.9999e-04 4.0000e-01 1.0000e+00 0.0000e+00 1 9
2.9671e-01 2.0000e+03 -1.0000e-03 -1.6479e+01 -7.6900e-03 -3.9999e-04 3.9999e-01 1.0000e+00 0.0000e+00 1 16
4.4406e-01 3.0000e+03 -1.0000e-03 -2.2270e+01 -5.7910e-03 -6.3999e-03 3.9999e-01 1.0000e+00 0.0000e+00 2 22
6.1341e-01 4.0000e+03 -1.0000e-03 -2.5064e+01 -2.7940e-03 -9.6334e-03 3.9998e-01 1.0000e+00 0.0000e+00 3 25
7.6048e-01 5.0000e+03 -1.0000e-03 -3.2754e+01 -7.6900e-03 -1.5999e-03 3.9998e-01 1.0000e+00 0.0000e+00 3 32
9.0861e-01 6.0000e+03 -1.0000e-03 -3.9544e+01 -6.7900e-03 -1.6799e-03 3.9998e-01 1.0000e+00 0.0000e+00 4 39
1.0563e+00 7.0000e+03 -1.0000e-03 -4.5135e+01 -5.5910e-03 0.0000e+00 3.9997e-01 1.0000e+00 0.0000e+00 4 44
1.2052e+00 8.0000e+03 -1.0000e-03 -5.3824e+01 -8.6890e-03 -4.7197e-03 3.9997e-01 1.0000e+00 0.0000e+00 4 52
1.3521e+00 9.0000e+03 -1.0000e-03 -6.8709e+01 -1.4885e-02 -1.5999e-03 3.9996e-01 1.0000e+00 0.0000e+00 4 66
1.4990e+00 1.0000e+04 -1.0000e-03 -7.5501e+01 -6.7920e-03 -8.7998e-04 3.9996e-01 1.0000e+00 0.0000e+00 4 72
1.6458e+00 1.1000e+04 -1.0000e-03 -7.9193e+01 -3.6920e-03 0.0000e+00 3.9996e-01 1.0000e+00 0.0000e+00 5 76
1.7931e+00 1.2000e+04 -1.0000e-03 -8.2784e+01 -3.5910e-03 -2.3997e-03 3.9995e-01 1.0000e+00 0.0000e+00 6 80
1.9399e+00 1.3000e+04 -1.0000e-03 -8.7475e+01 -4.6910e-03 -3.5230e-03 3.9995e-01 1.0000e+00 0.0000e+00 7 85
2.0863e+00 1.4000e+04 -1.0000e-03 -9.2168e+01 -4.6930e-03 -8.7999e-04 3.9994e-01 1.0000e+00 0.0000e+00 7 89
2.2347e+00 1.5000e+04 -1.0000e-03 -9.8758e+01 -6.5900e-03 -5.1714e-03 3.9994e-01 1.0000e+00 0.0000e+00 7 95
2.3824e+00 1.6000e+04 -1.0000e-03 -1.0435e+02 -5.5910e-03 -1.5997e-03 3.9994e-01 1.0000e+00 0.0000e+00 7 100
2.5294e+00 1.7000e+04 -1.0000e-03 -1.0794e+02 -3.5910e-03 -1.1998e-03 3.9993e-01 1.0000e+00 0.0000e+00 8 104
2.6759e+00 1.8000e+04 -1.0000e-03 -1.0973e+02 -1.7930e-03 -1.9998e-03 3.9993e-01 1.0000e+00 0.0000e+00 10 107
2.8233e+00 1.9000e+04 -1.0000e-03 -1.1842e+02 -8.6890e-03 -8.4155e-03 3.9992e-01 1.0000e+00 0.0000e+00 10 115
2.9696e+00 2.0000e+04 -1.0000e-03 -1.3021e+02 -1.1787e-02 -2.3996e-03 3.9992e-01 1.0000e+00 0.0000e+00 10 126
3.1184e+00 2.1000e+04 -1.0000e-03 -1.3690e+02 -6.6910e-03 -7.9983e-04 3.9992e-01 1.0000e+00 0.0000e+00 10 132
3.2649e+00 2.2000e+04 -1.0000e-03 -1.4669e+02 -9.7890e-03 -4.6066e-01 3.9991e-01 1.0000e+00 0.0000e+00 10 141
3.4126e+00 2.3000e+04 -1.0000e-03 -1.5118e+02 -4.4910e-03 -4.2393e-03 3.9991e-01 1.0000e+00 0.0000e+00 10 145
3.5595e+00 2.4000e+04 -1.0000e-03 -1.6607e+02 -1.4885e-02 -3.5996e-03 3.9990e-01 1.0000e+00 0.0000e+00 10 159
3.7063e+00 2.5000e+04 -1.0000e-03 -1.7066e+02 -4.5900e-03 3.6790e-02 3.9990e-01 1.0000e+00 0.0000e+00 11 164
3.8534e+00 2.6000e+04 -1.0000e-03 -1.7035e+02 3.0600e-04 -3.9996e-03 3.9990e-01 1.0000e+00 0.0000e+00 13 165
4.0000e+00 2.7000e+04 -1.0000e-03 -1.7704e+02 -6.6910e-03 -4.2401e-03 3.9989e-01 1.0000e+00 0.0000e+00 13 171
